,OD,Plein Tarif Loisir 2nde,1ère classe,dist
0,AEROPORT CDG 2 TGV ROISSY-AGDE,116.0,162.0,
1,AEROPORT CDG 2 TGV ROISSY-AIME LA PLAGNE,118.0,161.0,
2,AEROPORT CDG 2 TGV ROISSY-AIX LES BAINS LE REVARD,103.0,136.0,
3,AEROPORT CDG 2 TGV ROISSY-ALBERTVILLE,115.0,154.0,
4,AEROPORT CDG 2 TGV ROISSY-ANNECY,104.0,140.0,
5,AEROPORT CDG 2 TGV ROISSY-ANNEMASSE,108.0,152.0,
6,AEROPORT CDG 2 TGV ROISSY-ANTIBES,132.0,185.0,
7,AEROPORT CDG 2 TGV ROISSY-ARRAS,50.0,61.0,
8,AEROPORT CDG 2 TGV ROISSY-AURAY,91.0,127.0,
9,AEROPORT CDG 2 TGV ROISSY-BAYONNE,112.0,147.0,
10,AEROPORT CDG 2 TGV ROISSY-BELFORT-MONTBELIARD TGV,97.0,126.0,
11,AEROPORT CDG 2 TGV ROISSY-BELLEGARDE,91.0,129.0,
12,AEROPORT CDG 2 TGV ROISSY-BESANCON FRANCHE-COMTE TGV,83.0,111.0,
13,AEROPORT CDG 2 TGV ROISSY-BOURG ST MAURICE,118.0,161.0,
14,AEROPORT CDG 2 TGV ROISSY-DOUAI,52.0,66.0,
15,AEROPORT CDG 2 TGV ROISSY-ECOLE VALENTIN,83.0,111.0,
16,AEROPORT CDG 2 TGV ROISSY-EVIAN LES BAINS,108.0,152.0,
17,AEROPORT CDG 2 TGV ROISSY-FUTUROSCOPE,75.0,107.0,
18,AEROPORT CDG 2 TGV ROISSY-LANDERNEAU,92.0,131.0,
19,AEROPORT CDG 2 TGV ROISSY-LE CREUSOT MONTCEAU MONTCHANIN,82.0,114.0,
20,AEROPORT CDG 2 TGV ROISSY-LES ARCS DRAGUIGNAN,132.0,185.0,
21,AEROPORT CDG 2 TGV ROISSY-LIBOURNE,96.0,126.0,
22,AEROPORT CDG 2 TGV ROISSY-LISIEUX,51.0,63.0,
23,AEROPORT CDG 2 TGV ROISSY-MANTES LA JOLIE,35.0,47.0,
24,AEROPORT CDG 2 TGV ROISSY-MARMANDE,108.0,140.0,
25,AEROPORT CDG 2 TGV ROISSY-MARSEILLE ST CHARLES,116.0,162.0,
26,AEROPORT CDG 2 TGV ROISSY-MASSY PALAISEAU,35.0,47.0,
27,AEROPORT CDG 2 TGV ROISSY-MONTAUBAN VILLE BOURBON,109.0,142.0,
28,AEROPORT CDG 2 TGV ROISSY-MONTPELLIER,114.0,160.0,
29,AEROPORT CDG 2 TGV ROISSY-MORLAIX,91.0,127.0,
30,AEROPORT CDG 2 TGV ROISSY-MOUTIERS SALINS BRIDES,118.0,159.0,
31,AEROPORT CDG 2 TGV ROISSY-NANTES,85.0,122.0,
32,AEROPORT CDG 2 TGV ROISSY-NARBONNE,116.0,162.0,
33,AEROPORT CDG 2 TGV ROISSY-NICE VILLE,132.0,185.0,
34,AEROPORT CDG 2 TGV ROISSY-NIORT,84.0,118.0,
35,AEROPORT CDG 2 TGV ROISSY-PERPIGNAN,124.0,175.0,
36,AEROPORT CDG 2 TGV ROISSY-POITIERS,75.0,107.0,
37,AEROPORT CDG 2 TGV ROISSY-QUIMPER,95.0,134.0,
38,AEROPORT CDG 2 TGV ROISSY-REDON,84.0,122.0,
39,AEROPORT CDG 2 TGV ROISSY-RENNES,80.0,113.0,
40,AEROPORT CDG 2 TGV ROISSY-ROSPORDEN,95.0,134.0,
41,AEROPORT CDG 2 TGV ROISSY-ROUEN RIVE DROITE,40.0,48.0,
42,AEROPORT CDG 2 TGV ROISSY-SALLANCHES COMBLOUX MEGEVE,119.0,163.0,
43,AEROPORT CDG 2 TGV ROISSY-SAVENAY,85.0,122.0,
44,AEROPORT CDG 2 TGV ROISSY-SAVERNE,85.0,124.0,
45,AEROPORT CDG 2 TGV ROISSY-SETE,116.0,162.0,
46,AEROPORT CDG 2 TGV ROISSY-ST BRIEUC,84.0,122.0,
47,AEROPORT CDG 2 TGV ROISSY-ST GERVAIS LES BAINS LE FAYET,119.0,163.0,
48,AEROPORT CDG 2 TGV ROISSY-ST JEAN DE LUZ CIBOURE,112.0,147.0,
49,AEROPORT CDG 2 TGV ROISSY-ST MALO,85.0,123.0,
50,AEROPORT CDG 2 TGV ROISSY-ST MICHEL VALLOIRE,113.0,154.0,
51,AEROPORT CDG 2 TGV ROISSY-ST NAZAIRE,86.0,125.0,
52,AEROPORT CDG 2 TGV ROISSY-ST PIERRE DES CORPS,65.0,89.0,
