,Id,degree,group
0,44849238,3386,0
1,78835016,3315,0
2,985587297503596544,3114,0
3,948169852547715072,3107,0
4,3326599643,2977,0
5,1166813365093765120,2878,0
6,3245179401,2700,0
7,17442320,2479,0
8,2942657375,2378,0
9,253782772,1878,0
10,118012929,1755,1
11,270310777,1564,0
12,199893073,1267,1
13,1116096809624064000,1260,0
14,83572636,1244,1
15,3244618517,1217,1
16,2408406843,1121,1
17,21096782,1106,0
18,2974791111,1038,1
19,18169446,1009,1
20,917663680220852224,985,1
21,545463973,934,1
22,590028992,862,1
23,22386528,857,0
24,17754586,812,2
25,15460156,769,1
26,281603081,735,0
27,21283221,658,1
28,8170492,651,1
29,94837980,643,0
30,461415628,633,1
31,32124032,631,1
32,351038281,531,1
33,4149299116,520,1
34,19862042,512,1
35,445452143,501,0
36,15438912,499,1
37,72058741,486,0
38,3526772055,484,1
39,72103,483,2
40,15335641,473,1
41,226599594,463,1
42,699178302997716992,459,0
43,16866701,451,1
44,179457498,450,1
45,16514225,448,1
46,16544408,434,1
47,2388055363,412,1
48,1578299604,412,1
49,17852787,409,1
50,19181549,408,2
51,17314212,402,1
52,168537772,400,1
53,322242792,396,2
54,2798120942,395,2
55,1536750084,387,1
56,668283,384,1
57,1217557535814754305,381,1
58,755343,374,1
59,22916527,353,2
60,93266570,333,1
61,20230937,331,1
62,798931,329,1
63,2590080732,328,0
64,105305259,327,2
65,969214525907062784,318,1
66,773506772258721792,315,1
67,20466226,310,0
68,479706186,306,1
69,386204444,299,1
70,3158251940,299,1
71,15909805,299,1
72,3360065429,297,1
73,29216074,290,1
74,664743,289,1
75,19331692,289,1
76,153902719,283,1
77,898453457409114112,276,0
78,4717318832,269,1
79,964271234241519616,268,1
80,21416716,268,1
81,1255845086811828224,268,0
82,947719507,256,1
83,104881543,254,2
84,850349662754271236,248,1
85,14270160,246,1
86,67277375,243,2
87,46193,240,1
88,734000215011827712,239,1
89,1027851082649755648,230,0
90,14847163,229,2
91,147679241,228,0
92,879740426131034113,227,1
93,712344764,225,0
94,112531537,225,2
95,23938674,224,1
96,915315280536047619,222,2
97,171419895,217,1
98,6468172,215,1
99,14527564,214,1
100,21746693,209,1
101,1130464193625436160,206,1
102,14321293,201,1
103,21880344,200,1
104,493548358,199,1
105,389561131,191,1
106,346695250,190,1
107,1005019698478632962,181,1
108,352290054,179,1
109,14383731,179,1
110,55434962,178,2
111,14242275,177,2
112,997903964753494017,176,1
113,346523534,176,1
114,31672479,174,2
115,116169143,172,1
116,2194338684,171,2
117,998860266073985024,169,0
118,38673696,160,1
119,302763502,155,2
120,20938588,154,1
121,20155231,151,1
122,48298932,148,2
123,270568443,144,1
124,952487456,144,2
125,232585099,143,2
126,1602123403,142,2
127,54424513,139,1
128,142676993,137,1
129,1986571,137,1
130,35199423,136,1
131,998850439608258560,136,1
132,954126039181078530,127,1
133,956841040257970176,127,1
134,1115314512,126,2
135,15403657,125,1
136,14082736,125,1
137,223504938,122,1
138,176835352,121,1
139,938145849363845122,116,1
140,478676977,113,0
141,2303210607,111,2
142,15340567,108,1
143,965093639499190272,107,0
144,2401889434,107,1
145,19281973,102,1
146,511679201,101,2
147,1025996070185312256,101,1
148,402008149,94,2
149,994593140291063808,94,1
150,1047799693911183360,87,1
151,336140077,84,1
152,3131500821,84,2
153,189666521,82,1
154,447359224,82,1
155,2623858099,80,2
156,1114900647583809537,79,1
157,20222110,79,2
158,121488411,74,2
159,21020637,73,1
160,183010626,72,1
161,7268972,72,1
