2020_miles,2021_miles,2022_miles,2023_miles
0,2.65,4.65,2.89
13.13,4.51,3.49,2.17
0,2.24,12.18,7.57
0.00,0.00,2.31,1.44
0.00,2.15,5.00,3.11
0.00,2.18,5.20,3.23
2.33,3.34,2.76,1.71
0.00,2.22,1.85,1.15
11.27,3.63,5.32,3.31
1.14,3.17,2.95,1.83
0.00,2.15,0.00,0.00
0.86,1.44,2.50,1.55
0.00,2.37,12.22,7.59
2.65,3.35,4.38,2.72
0.00,2.23,3.55,2.21
1.09,1.02,3.82,2.37
1.21,5.92,12.39,7.70
0.00,2.18,2.29,1.42
4.10,5.41,1.26,0.78
1.91,0.00,6.00,3.73
2.93,1.95,3.18,1.98
0.00,5.97,3.84,2.39
0.00,2.94,1.83,1.14
2.05,0.00,3.48,2.16
0.00,5.03,2.39,1.49
0.00,2.02,15.51,9.64
0.00,6.82,2.30,1.43
2.93,0.00,3.57,2.22
1.92,2.19,3.39,2.11
1.49,2.56,0.00,0.00
2.80,3.27,2.34,1.45
2.73,3.10,2.82,1.75
0.00,2.03,3.02,1.88
0.00,1.26,8.36,5.19
3.42,1.41,4.05,2.52
1.38,3.68,2.68,1.67
2.25,2.35,2.58,1.60
0.75,3.19,2.33,1.45
1.14,0.00,4.85,3.01
0.00,0.00,3.22,2.00
0.00,7.64,8.15,5.06
0.00,2.19,6.21,3.86
4.57,4.72,0.00,0.00
3.55,2.59,4.39,2.73
0.81,2.50,3.31,2.06
0.00,2.23,3.02,1.88
0.00,2.46,5.66,3.52
0.00,2.03,11.00,6.84
4.78,2.57,2.33,1.45
0.00,0.00,2.10,1.30
1.88,4.18,3.33,2.07
4.43,3.43,2.33,1.45
0.00,0.00,1.40,0.87
3.14,7.83,3.44,2.14
0.00,0.00,7.17,4.46
2.93,2.01,1.98,1.23
2.19,2.16,6.13,3.81
11.00,3.28,4.14,2.57
0.00,2.80,0.00,0.00
1.73,2.19,2.77,1.72
0.00,8.02,0.00,0.00
0.00,0.00,0.00,0.00
2.93,2.17,0.45,0.28
0.00,2.74,1.12,0.70
0.00,3.85,1.14,0.71
0.00,3.04,2.58,1.60
0.00,2.16,1.35,0.84
0.00,7.89,2.20,1.37
0.00,0.00,2.52,1.57
0.00,2.19,0.00,0.00
1.90,2.44,2.03,1.26
11.59,3.53,3.00,1.86
0.00,3.23,2.82,1.75
0.00,2.19,2.88,1.79
1.67,8.39,2.95,1.83
2.30,1.66,1.81,
0.00,2.18,3.80,
0.00,2.20,5.11,
0.00,3.18,1.72,
2.55,3.54,4.14,
0.00,1.65,4.14,
2.87,11.09,7.05,
0.00,0.00,7.05,
3.30,1.65,2.97,
2.60,2.09,4.68,
0.00,4.03,2.63,
0.00,3.15,2.71,
2.60,2.19,2.33,
2.56,2.21,8.29,
0.00,2.22,2.23,
0.00,9.08,2.80,
0.00,2.95,3.09,
0.00,2.83,2.98,
4.55,3.77,3.13,
3.40,0.00,8.01,
0.00,7.57,6.82,
0.00,2.21,2.81,
0.00,2.21,2.00,
1.70,5.65,5.60,
0.00,2.60,3.87,
